date_mise_en_service,coord,description,cod,nom_enseigne,implantation_station,id_pdc_local,contact_operateur,id_station_local,observations,raccordement,paiement_cb,siren_amenageur,nbre_pdc,prise_type_ef,timezone,wind,num_pdl,prise_type_autre,icon,code_insee_commune,clouds,name,paiement_autre,accessibilite_pmr,telephone_operateur,coordonneesxy,prise_type_2,statut_pdc,nom_station,puissance_nominale,gratuit,station_deux_roues,horaires,paiement_acte,nom_amenageur,base,arrondissement,condition_acces,prise_type_combo_ccs,visibility,dt_converted,prise_type_3,contact_amenageur,date_maj,adresse_station,reservation,restriction_gabarit,id_station_itinerance,prise_type_chademo,id,nom_operateur,main,dt,sys,weather,id_pdc_itinerance,tarification,collection_name
2021-08-05T08:56:30+00:00,,,,Belib',Voirie,FR*V75*EPX19*05*7,assistance.technique@tevgo.fr,FR*V75*PPX19*05,"['Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib', ""Plus d'information - https://belib.paris.fr""]",Direct,true,531680445,7,True,,,7515050553818,False,,75119,,,true,Non accessible,01 85 16 94 02,"{'lon': 2.3691, 'lat': 48.8917}",True,En service,Paris | Rue d'Aubervilliers 126,7,false,False,24/7,true,TOTALENERGIES,,19e Arrondissement,Accès libre,False,,,False,assistance.technique@tevgo.fr,2024-07-01,126 Rue d'Aubervilliers 75019 Paris,false,aucune restriction,FRV75PPX1905,False,,TOTALENERGIES,,,,,FRV75EPX19057,https://belib.paris,belib
2021-11-03T09:17:53+00:00,,,,Belib',Voirie,FR*V75*EPX19*06*1,assistance.technique@tevgo.fr,FR*V75*PPX19*06,"['Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib', ""Plus d'information - https://belib.paris.fr""]",Direct,true,531680445,6,True,,,7570477471288,False,,75119,,,true,Réservé PMR,01 85 16 94 02,"{'lon': 2.3888, 'lat': 48.8886}",True,En service,Paris | Rue Adolphe Mille 8,7,false,False,24/7,true,TOTALENERGIES,,19e Arrondissement,Accès libre,False,,,False,assistance.technique@tevgo.fr,2024-07-01,8 Rue Adolphe Mille 75019 Paris,false,aucune restriction,FRV75PPX1906,False,,TOTALENERGIES,,,,,FRV75EPX19061,https://belib.paris,belib
2021-08-05T09:06:38+00:00,,,,Belib',Voirie,FR*V75*EPX18*06*7,assistance.technique@tevgo.fr,FR*V75*PPX18*06,"['Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib', ""Plus d'information - https://belib.paris.fr""]",Direct,true,531680445,7,True,,,7576845054524,False,,75118,,,true,Non accessible,01 85 16 94 02,"{'lon': 2.3385, 'lat': 48.8913}",True,En service,Paris | Rue Marcadet 150,7,false,False,24/7,true,TOTALENERGIES,,18e Arrondissement,Accès libre,False,,,False,assistance.technique@tevgo.fr,2024-07-01,150 Rue Marcadet 75018 Paris,false,aucune restriction,FRV75PPX1806,False,,TOTALENERGIES,,,,,FRV75EPX18067,https://belib.paris,belib
2021-08-11T11:02:28+00:00,,,,Belib',Voirie,FR*V75*EPX15*22*6,assistance.technique@tevgo.fr,FR*V75*PPX15*22,"['Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib', ""Plus d'information - https://belib.paris.fr""]",Direct,true,531680445,6,True,,,7467727830093,False,,75115,,,true,Réservé PMR,01 85 16 94 02,"{'lon': 2.2876, 'lat': 48.8407}",True,En service,Paris | Rue Houdart de Lamotte 2,7,false,False,24/7,true,TOTALENERGIES,,15e Arrondissement,Accès libre,False,,,False,assistance.technique@tevgo.fr,2024-07-01,2 Rue Houdart de Lamotte 75015 Paris,false,aucune restriction,FRV75PPX1522,False,,TOTALENERGIES,,,,,FRV75EPX15226,https://belib.paris,belib
2021-09-07T10:10:39+00:00,,,,Belib',Voirie,FR*V75*EPX15*25*3,assistance.technique@tevgo.fr,FR*V75*PPX15*25,"['Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib', ""Plus d'information - https://belib.paris.fr""]",Direct,true,531680445,4,True,,,7497105543479,False,,75115,,,true,Non accessible,01 85 16 94 02,"{'lon': 2.3026, 'lat': 48.8349}",True,En service,Paris | Rue de Cronstadt 2,7,false,False,24/7,true,TOTALENERGIES,,15e Arrondissement,Accès libre,False,,,False,assistance.technique@tevgo.fr,2024-07-01,2 Rue de Cronstadt 75015 Paris,false,aucune restriction,FRV75PPX1525,False,,TOTALENERGIES,,,,,FRV75EPX15253,https://belib.paris,belib
2021-09-07T10:12:28+00:00,,,,Belib',Voirie,FR*V75*EPX15*26*1,assistance.technique@tevgo.fr,FR*V75*PPX15*26,"['Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib', ""Plus d'information - https://belib.paris.fr""]",Direct,true,531680445,6,True,,,7434008581204,False,,75115,,,true,Non accessible,01 85 16 94 02,"{'lon': 2.2953, 'lat': 48.8472}",True,En service,Paris |  Avenue Émile Zola 143,7,false,False,24/7,true,TOTALENERGIES,,15e Arrondissement,Accès libre,False,,,False,assistance.technique@tevgo.fr,2024-07-01,143 Avenue Émile Zola 75015 Paris,false,aucune restriction,FRV75PPX1526,False,,TOTALENERGIES,,,,,FRV75EPX15261,https://belib.paris,belib
2021-09-14T00:00:00+00:00,,,,Belib',Voirie,FR*V75*EPX16*13*4,assistance.technique@tevgo.fr,FR*V75*PPX16*13,"['Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib', ""Plus d'information - https://belib.paris.fr""]",Direct,true,531680445,6,True,,,7413169218442,False,,75116,,,true,Non accessible,01 85 16 94 02,"{'lon': 2.2843, 'lat': 48.8735}",True,En service,Paris |  Avenue de Malakoff 115,7,false,False,24/7,true,TOTALENERGIES,,16e Arrondissement,Accès libre,False,,,False,assistance.technique@tevgo.fr,2024-07-01,115 Avenue de Malakoff 75016 Paris,false,aucune restriction,FRV75PPX1613,False,,TOTALENERGIES,,,,,FRV75EPX16134,https://belib.paris,belib
2021-09-07T10:16:05+00:00,,,,Belib',Voirie,FR*V75*EPX15*28*6,assistance.technique@tevgo.fr,FR*V75*PPX15*28,"['Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib', ""Plus d'information - https://belib.paris.fr""]",Direct,true,531680445,6,True,,,7418668495710,False,,75115,,,true,Non accessible,01 85 16 94 02,"{'lon': 2.2787, 'lat': 48.8373}",True,En service,Paris | Rue Balard 108,7,false,False,24/7,true,TOTALENERGIES,,15e Arrondissement,Accès libre,False,,,False,assistance.technique@tevgo.fr,2024-07-01,108 Rue Balard 75015 Paris,false,aucune restriction,FRV75PPX1528,False,,TOTALENERGIES,,,,,FRV75EPX15286,https://belib.paris,belib
2021-09-14T13:54:11+00:00,,,,Belib',Voirie,FR*V75*EPX17*11*1,assistance.technique@tevgo.fr,FR*V75*PPX17*11,"['Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib', ""Plus d'information - https://belib.paris.fr""]",Direct,true,531680445,6,True,,,7549203954828,False,,75117,,,true,Non accessible,01 85 16 94 02,"{'lon': 2.2955, 'lat': 48.8867}",True,En service,Paris | Rue de Courcelles 210,7,false,False,24/7,true,TOTALENERGIES,,17e Arrondissement,Accès libre,False,,,False,assistance.technique@tevgo.fr,2024-07-01,210 Rue de Courcelles 75017 Paris,false,aucune restriction,FRV75PPX1711,False,,TOTALENERGIES,,,,,FRV75EPX17111,https://belib.paris,belib
2021-09-14T13:54:23+00:00,,,,Belib',Voirie,FR*V75*EPX17*11*5,assistance.technique@tevgo.fr,FR*V75*PPX17*11,"['Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib', ""Plus d'information - https://belib.paris.fr""]",Direct,true,531680445,6,True,,,7549203954828,False,,75117,,,true,Non accessible,01 85 16 94 02,"{'lon': 2.2955, 'lat': 48.8867}",True,En service,Paris | Rue de Courcelles 210,7,false,False,24/7,true,TOTALENERGIES,,17e Arrondissement,Accès libre,False,,,False,assistance.technique@tevgo.fr,2024-07-01,210 Rue de Courcelles 75017 Paris,false,aucune restriction,FRV75PPX1711,False,,TOTALENERGIES,,,,,FRV75EPX17115,https://belib.paris,belib
